feature,importance
Customer_Days,388
Recency,386
MntMeatProducts,351
MntWines,334
Income,304
MntGoldProds,298
MntSweetProducts,273
Age,258
MntFruits,238
MntFishProducts,210
NumStorePurchases,172
NumWebVisitsMonth,151
NumWebPurchases,115
NumCatalogPurchases,94
NumDealsPurchases,92
education_PhD,66
AcceptedCmp3,59
marital_Married,52
Teenhome,50
marital_Single,46
AcceptedCmp5,45
AcceptedCmp1,41
AcceptedCmp4,34
Kidhome,28
marital_Together,25
education_Graduation,22
education_Master,14
marital_Divorced,7
Complain,0
AcceptedCmp2,0
marital_Widow,0
education_2n Cycle,0
education_Basic,0
